id,label
id_1,1
id_2,1
id_3,0
id_4,1
id_5,0
id_6,0
id_7,1
id_8,0
id_9,1
id_10,1
id_11,0
id_12,1
id_13,0
id_14,0
id_15,0
id_16,1
id_17,1
id_18,1
id_19,1
id_20,0
id_21,0
id_22,1
id_23,0
id_24,0
id_25,1
id_26,1
id_27,1
id_28,1
id_29,1
id_30,0
id_31,1
id_32,1
id_33,0
id_34,0
id_35,1
id_36,0
id_37,1
id_38,0
id_39,0
id_40,1
id_41,1
id_42,0
id_43,1
id_44,1
id_45,0
id_46,1
id_47,1
id_48,1
id_49,0
id_50,1
id_51,1
id_52,1
id_53,1
id_54,0
id_55,0
id_56,1
id_57,1
id_58,1
id_59,0
id_60,0
id_61,0
id_62,0
id_63,1
id_64,1
id_65,0
id_66,0
id_67,1
id_68,1
id_69,0
id_70,0
id_71,1
id_72,0
id_73,0
id_74,0
id_75,1
id_76,0
id_77,0
id_78,0
id_79,1
id_80,0
id_81,0
id_82,0
id_83,0
id_84,1
id_85,1
id_86,0
id_87,1
id_88,0
id_89,0
id_90,1
id_91,0
id_92,1
id_93,1
id_94,0
id_95,1
id_96,1
id_97,1
id_98,1
id_99,1
id_100,0
id_101,0
id_102,1
id_103,1
id_104,1
id_105,1
id_106,0
id_107,0
id_108,1
id_109,1
id_110,0
id_111,1
id_112,1
id_113,1
id_114,0
id_115,0
id_116,1
id_117,1
id_118,1
id_119,1
id_120,1
id_121,1
id_122,1
id_123,0
id_124,0
id_125,1
id_126,0
id_127,1
id_128,1
id_129,1
id_130,1
id_131,1
id_132,1
id_133,0
id_134,0
id_135,1
id_136,0
id_137,0
id_138,0
id_139,1
id_140,1
id_141,1
id_142,0
id_143,1
id_144,0
id_145,1
id_146,1
id_147,1
id_148,0
id_149,1
id_150,0
id_151,1
id_152,1
id_153,0
id_154,1
id_155,1
id_156,1
id_157,1
id_158,0
id_159,1
id_160,0
id_161,1
id_162,0
id_163,1
id_164,1
id_165,1
id_166,1
id_167,0
id_168,1
id_169,1
id_170,0
id_171,1
id_172,1
id_173,0
id_174,1
id_175,1
id_176,1
id_177,0
id_178,0
id_179,0
id_180,0
id_181,1
id_182,0
id_183,0
id_184,1
id_185,1
id_186,0
id_187,0
id_188,0
id_189,0
id_190,0
id_191,1
id_192,0
id_193,0
id_194,0
id_195,1
id_196,1
id_197,1
id_198,1
id_199,0
id_200,0
id_201,0
id_202,0
id_203,0
id_204,1
id_205,1
id_206,0
id_207,1
id_208,1
id_209,1
id_210,0
id_211,0
id_212,1
id_213,1
id_214,1
id_215,0
id_216,0
id_217,1
id_218,0
id_219,0
id_220,0
id_221,0
id_222,0
id_223,1
id_224,0
id_225,1
id_226,1
id_227,1
id_228,1
id_229,0
id_230,0
id_231,0
id_232,0
id_233,0
id_234,0
id_235,1
id_236,0
id_237,0
id_238,1
id_239,0
id_240,1
id_241,1
id_242,1
id_243,1
id_244,1
id_245,1
id_246,0
id_247,0
id_248,1
id_249,1
id_250,0
id_251,1
id_252,0
id_253,1
id_254,1
id_255,0
id_256,0
id_257,0
id_258,1
id_259,0
id_260,0
id_261,1
id_262,1
id_263,0
id_264,1
id_265,1
id_266,0
id_267,0
id_268,1
id_269,0
id_270,1
id_271,1
id_272,1
id_273,1
